Canada - International students by country of citizenship (2015 ranking) and year in which study permit(s) became effective, 2006 - Q3 2016*,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of citizenship,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q3 2016,,,,,,,,,,,,,,,
Botswana, Republic of,73.00,95.00,116.00,125.00,108.00,104.00,104.00,61.00,78.00,57.00,49.00,,,,,,,,,,,,,,,
Bolivia,32.00,36.00,37.00,41.00,37.00,47.00,49.00,46.00,47.00,54.00,54.00,,,,,,,,,,,,,,,
Gambia,33.00,28.00,46.00,49.00,35.00,44.00,39.00,52.00,50.00,54.00,46.00,,,,,,,,,,,,,,,
Guatemala,35.00,36.00,39.00,50.00,66.00,63.00,62.00,57.00,61.00,53.00,54.00,,,,,,,,,,,,,,,
United Arab Emirates,95.00,114.00,168.00,129.00,123.00,121.00,83.00,75.00,44.00,53.00,35.00,,,,,,,,,,,,,,,
Lithuania,13.00,22.00,16.00,30.00,22.00,26.00,28.00,36.00,42.00,48.00,32.00,,,,,,,,,,,,,,,
Belarus,52.00,47.00,44.00,51.00,50.00,62.00,61.00,61.00,66.00,47.00,50.00,,,,,,,,,,,,,,,
Iceland,58.00,40.00,49.00,49.00,52.00,54.00,60.00,46.00,48.00,46.00,39.00,,,,,,,,,,,,,,,
Moldova,25.00,18.00,24.00,126.00,101.00,42.00,50.00,43.00,64.00,44.00,35.00,,,,,,,,,,,,,,,
Bulgaria,79.00,69.00,57.00,65.00,48.00,56.00,34.00,41.00,43.00,42.00,46.00,,,,,,,,,,,,,,,
Mauritania,45.00,54.00,48.00,35.00,33.00,34.00,32.00,40.00,37.00,40.00,30.00,,,,,,,,,,,,,,,
Republic of Kosovo,0.00,0.00,4.00,18.00,28.00,27.00,26.00,26.00,40.00,40.00,39.00,,,,,,,,,,,,,,,
Luxembourg,20.00,14.00,18.00,13.00,31.00,18.00,23.00,25.00,26.00,36.00,34.00,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,70.00,61.00,64.00,107.00,142.00,118.00,104.00,85.00,53.00,35.00,33.00,,,,,,,,,,,,,,,
St. Kitts-Nevis,19.00,24.00,29.00,27.00,19.00,23.00,28.00,34.00,37.00,34.00,32.00,,,,,,,,,,,,,,,
Grenada,33.00,33.00,24.00,28.00,33.00,26.00,29.00,28.00,27.00,32.00,33.00,,,,,,,,,,,,,,,
Central African Republic,10.00,12.00,8.00,8.00,13.00,15.00,17.00,26.00,18.00,32.00,26.00,,,,,,,,,,,,,,,
Uzbekistan,21.00,28.00,22.00,23.00,28.00,20.00,26.00,22.00,22.00,32.00,33.00,,,,,,,,,,,,,,,
Bahrain,37.00,53.00,53.00,60.00,52.00,56.00,45.00,39.00,29.00,29.00,38.00,,,,,,,,,,,,,,,
Latvia,19.00,25.00,18.00,47.00,48.00,45.00,52.00,43.00,29.00,28.00,26.00,,,,,,,,,,,,,,,
Djibouti, Republic of,13.00,10.00,12.00,16.00,27.00,27.00,19.00,27.00,16.00,26.00,30.00,,,,,,,,,,,,,,,
Myanmar (Burma),41.00,41.00,40.00,36.00,39.00,32.00,45.00,33.00,36.00,26.00,23.00,,,,,,,,,,,,,,,
Slovenia,6.00,16.00,5.00,11.00,12.00,22.00,14.00,19.00,16.00,25.00,17.00,,,,,,,,,,,,,,,
